# LTP summary: `/root/oskernel-eval-runs/g007-official-local-20260619-110459/os_serial_out_rv.txt`

- Wrapper PASS (code 0): 1990
- Wrapper FAIL (nonzero/timeout): 10
- Internal TFAIL/TBROK/TCONF: 13 ({'TCONF': 2, 'TBROK': 4, 'TFAIL': 7})
- timeout matches: 1
- ENOSYS/not implemented matches: 2
- panic/trap matches: 0

## Case-list manifests
- ltp-musl: `stable` (1000 cases, timeout 180s)
- ltp-glibc: `stable` (1000 cases, timeout 180s)

## Suite summaries
- ltp-musl: 992 passed, 8 failed
- ltp-glibc: 998 passed, 2 failed

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| abort01 | rv | glibc | ltp-glibc | PASS | 0 | 1307 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| abort01 | rv | musl | ltp-musl | PASS | 0 | 960 | 240090 | 240090 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | glibc | ltp-glibc | PASS | 0 | 1465 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | musl | ltp-musl | PASS | 0 | 911 | 240090 | 240090 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | glibc | ltp-glibc | PASS | 0 | 1568 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | musl | ltp-musl | PASS | 0 | 1079 | 240090 | 240090 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept02 | rv | glibc | ltp-glibc | FAIL | 2 | 1459 | 238914 | 238914 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
| accept02 | rv | musl | ltp-musl | FAIL | 2 | 951 | 238890 | 238890 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
| access01 | rv | glibc | ltp-glibc | PASS | 0 | 3910 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| access01 | rv | musl | ltp-musl | PASS | 0 | 3249 | 240090 | 240090 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| access02 | rv | glibc | ltp-glibc | PASS | 0 | 3386 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| access02 | rv | musl | ltp-musl | PASS | 0 | 3051 | 240090 | 240090 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| access03 | rv | glibc | ltp-glibc | PASS | 0 | 1498 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| access03 | rv | musl | ltp-musl | PASS | 0 | 1157 | 240090 | 240090 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| access04 | rv | glibc | ltp-glibc | PASS | 0 | 1880 | 238914 | 238914 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| access04 | rv | musl | ltp-musl | PASS | 0 | 1274 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| adjtimex01 | rv | glibc | ltp-glibc | PASS | 0 | 1344 | 238914 | 238914 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| adjtimex01 | rv | musl | ltp-musl | PASS | 0 | 1002 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| adjtimex03 | rv | glibc | ltp-glibc | PASS | 0 | 1474 | 238914 | 238914 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| adjtimex03 | rv | musl | ltp-musl | PASS | 0 | 971 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm02 | rv | glibc | ltp-glibc | PASS | 0 | 1328 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm02 | rv | musl | ltp-musl | PASS | 0 | 894 | 240090 | 240090 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm03 | rv | glibc | ltp-glibc | PASS | 0 | 1337 | 238890 | 238890 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
