kind,case,family,touchpoints,self_check_risk,evidence,runtime_occurrences,selection_occurrences,guard_or_comment_occurrences
ltp_stable,access01,fs_path_metadata,kernel/fs; api/arceos_posix_api/src/imp/fs.rs; examples/shell/src/uspace/fs*.rs; ulib/axlibc/src/stat.c,OK_SELECTION_GUARD_COMMENT_ONLY,exact case name outside stable appears only in selection lists plus guard/test/comment code,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]","[{""file"": ""scripts/test_ltp_summary.py"", ""line"": 54, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""\""RUN LTP CASE access01\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 55, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""\""FAIL LTP CASE access01 : 0\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 63, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""self.assertEqual(data[\""case_matrix\""][\""access01\""][\""rv\""][\""musl\""][\""status\""], \""PASS\"")""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 70, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""\""RUN LTP CASE access01\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 71, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""\""PASS LTP CASE access01 : 0\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 79, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""self.assertEqual(data[\""case_matrix\""][\""access01\""][\""rv\""][\""musl\""][\""status\""], \""PASS\"")""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 126, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""\""RUN LTP CASE access01\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 127, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""\""PASS LTP CASE access01 : 0\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 144, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""row = data[\""case_matrix\""][\""access01\""][\""rv\""][\""musl\""]""}]"
ltp_stable,brk01,memory,kernel/memory; examples/shell/src/uspace/memory*.rs; api/arceos_posix_api/src/imp/mem.rs,OK_SELECTION_LIST_ONLY,exact case name outside stable appears only in generic LTP selection/batch lists,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]",[]
ltp_stable,chdir01,fs_path_metadata,kernel/fs; api/arceos_posix_api/src/imp/fs.rs; examples/shell/src/uspace/fs*.rs; ulib/axlibc/src/stat.c,OK_SELECTION_GUARD_COMMENT_ONLY,exact case name outside stable appears only in selection lists plus guard/test/comment code,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]","[{""file"": ""scripts/check_g005_runner_parser.py"", ""line"": 92, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""if '\""chdir01\""' in env_block or \""chdir01\"" in env_block:""}, {""file"": ""scripts/check_g005_runner_parser.py"", ""line"": 93, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""findings.append(\""examples/shell/src/cmd.rs: ltp_case_env must not special-case chdir01\"")""}, {""file"": ""scripts/check_g005_runner_parser.py"", ""line"": 102, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""if re.search(r\""if\\s+case\\s*==\\s*\\\""chdir01\\\""\"", text):""}, {""file"": ""scripts/check_g005_runner_parser.py"", ""line"": 103, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""findings.append(\""examples/shell/src/cmd.rs: case-name branch for chdir01 is forbidden\"")""}, {""file"": ""scripts/test_g005_runner_parser.py"", ""line"": 52, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""\""if case == \\\""chdir01\\\"" {\"",""}, {""file"": ""scripts/test_g005_runner_parser.py"", ""line"": 58, ""class"": ""compliance_guard_or_unit_test"", ""text"": ""self.assertIn(\""chdir01\"", result.stdout)""}]"
ltp_stable,clone01,process,"kernel/task; examples/shell/src/uspace/{process,task_context,resource_sched}.rs; api/arceos_posix_api/src/imp/task.rs",OK_SELECTION_LIST_ONLY,exact case name outside stable appears only in generic LTP selection/batch lists,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]",[]
ltp_stable,close01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,OK_SELECTION_LIST_ONLY,exact case name outside stable appears only in generic LTP selection/batch lists,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]",[]
ltp_stable,dup01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,OK_SELECTION_LIST_ONLY,exact case name outside stable appears only in generic LTP selection/batch lists,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]",[]
ltp_stable,fcntl01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,OK_SELECTION_LIST_ONLY,exact case name outside stable appears only in generic LTP selection/batch lists,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 628, ""class"": ""selection_list"", ""text"": ""\""fcntl01\"",""}]",[]
ltp_stable,fcntl02,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,OK_SELECTION_LIST_ONLY,exact case name outside stable appears only in generic LTP selection/batch lists,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]",[]
ltp_stable,fork01,process,"kernel/task; examples/shell/src/uspace/{process,task_context,resource_sched}.rs; api/arceos_posix_api/src/imp/task.rs",OK_SELECTION_LIST_ONLY,exact case name outside stable appears only in generic LTP selection/batch lists,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]",[]
ltp_stable,getpid01,process,"kernel/task; examples/shell/src/uspace/{process,task_context,resource_sched}.rs; api/arceos_posix_api/src/imp/task.rs",OK_SELECTION_LIST_ONLY,exact case name outside stable appears only in generic LTP selection/batch lists,[],"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""class"": ""selection_list"", ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}]",[]
