# LTP summary: `docs/ltp-score-improvement-2026-05-22-phase-b/wave-a2-fd-fs-proc-rv.log`

- PASS LTP CASE: 55
- FAIL LTP CASE: 61
- Internal TFAIL/TBROK/TCONF: 93 ({'TFAIL': 62, 'TBROK': 31})
- timeout matches: 0
- ENOSYS/not implemented matches: 44
- panic/trap matches: 0

## Suite summaries
- ltp-musl: 27 passed, 31 failed
- ltp-glibc: 28 passed, 30 failed

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| access02 | rv | glibc | ltp-glibc | FAIL | 1 | 19248 | 256011 | 255913 | -98 | 4 | 0 | 0 | 0 | 0 | 0 |
| access02 | rv | musl | ltp-musl | FAIL | 1 | 7713 | 258864 | 256718 | -2146 | 4 | 0 | 0 | 0 | 0 | 0 |
| access04 | rv | glibc | ltp-glibc | FAIL | 2 | 8954 | 255913 | 255906 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| access04 | rv | musl | ltp-musl | FAIL | 2 | 4912 | 256718 | 256711 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| chmod01 | rv | glibc | ltp-glibc | PASS | 0 | 10498 | 255318 | 255297 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| chmod01 | rv | musl | ltp-musl | PASS | 0 | 7305 | 256123 | 256102 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| chmod02 | rv | glibc | ltp-glibc | FAIL | -1 | 49 | 255297 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| chmod02 | rv | musl | ltp-musl | FAIL | -1 | 54 | 256102 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| close01 | rv | glibc | ltp-glibc | PASS | 0 | 11434 | 255850 | 255836 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| close01 | rv | musl | ltp-musl | PASS | 0 | 4593 | 256655 | 256641 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| close02 | rv | glibc | ltp-glibc | PASS | 0 | 9255 | 255836 | 255822 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| close02 | rv | musl | ltp-musl | PASS | 0 | 5346 | 256641 | 256627 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| dup01 | rv | glibc | ltp-glibc | PASS | 0 | 8732 | 255822 | 255808 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| dup01 | rv | musl | ltp-musl | PASS | 0 | 4776 | 256627 | 256613 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
