# LTP summary: `/root/oskernel2026-orays/docs/ltp-score-improvement-2026-05-22-phase-d/raw/stable200-wave1-rv.log`

- PASS LTP CASE: 22
- FAIL LTP CASE: 112
- Internal TFAIL/TBROK/TCONF: 1376 ({'TFAIL': 1333, 'TBROK': 39, 'TCONF': 4})
- timeout matches: 5
- ENOSYS/not implemented matches: 8
- panic/trap matches: 0

## Suite summaries
- ltp-musl: 9 passed, 58 failed
- ltp-glibc: 13 passed, 54 failed

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| clock_getres02 | rv | glibc | ltp-glibc | FAIL | -1 | 64 | 240089 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| clock_getres02 | rv | musl | ltp-musl | FAIL | -1 | 11 | 242308 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| clock_gettime01 | rv | glibc | ltp-glibc | FAIL | 137 | 20929 | 240103 | 240089 | -14 | 0 | 0 | 0 | 1 | 0 | 0 |
| clock_gettime01 | rv | musl | ltp-musl | FAIL | 137 | 20241 | 242322 | 242308 | -14 | 0 | 0 | 0 | 1 | 0 | 0 |
| close08 | rv | glibc | ltp-glibc | FAIL | -1 | 13 | 240278 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| close08 | rv | musl | ltp-musl | FAIL | -1 | 7 | 242497 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| close09 | rv | glibc | ltp-glibc | FAIL | -1 | 10 | 240278 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| close09 | rv | musl | ltp-musl | FAIL | -1 | 3 | 242497 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| fcntl05 | rv | glibc | ltp-glibc | FAIL | 1 | 1955 | 241517 | 241503 | -14 | 1 | 0 | 0 | 0 | 0 | 0 |
| fcntl05 | rv | musl | ltp-musl | FAIL | 1 | 933 | 251928 | 251914 | -14 | 1 | 0 | 0 | 0 | 0 | 0 |
| fcntl06 | rv | glibc | ltp-glibc | FAIL | -1 | 8 | 241503 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| fcntl06 | rv | musl | ltp-musl | FAIL | -1 | 8 | 251914 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| fcntl07 | rv | glibc | ltp-glibc | FAIL | 2 | 1507 | 241503 | 241496 | -7 | 0 | 2 | 0 | 0 | 1 | 0 |
| fcntl07 | rv | musl | ltp-musl | FAIL | 2 | 905 | 251914 | 251907 | -7 | 0 | 2 | 0 | 0 | 1 | 0 |
| fcntl11 | rv | glibc | ltp-glibc | FAIL | 1 | 2376 | 241496 | 241482 | -14 | 75 | 0 | 0 | 0 | 0 | 0 |
| fcntl11 | rv | musl | ltp-musl | FAIL | 1 | 924 | 251907 | 251893 | -14 | 75 | 0 | 0 | 0 | 0 | 0 |
| fcntl12 | rv | glibc | ltp-glibc | FAIL | 5 | 2112 | 241482 | 241461 | -21 | 1 | 0 | 0 | 0 | 0 | 0 |
| fcntl12 | rv | musl | ltp-musl | FAIL | 5 | 1060 | 251893 | 251872 | -21 | 1 | 0 | 0 | 0 | 0 | 0 |
| fcntl13 | rv | glibc | ltp-glibc | FAIL | 1 | 1212 | 241461 | 241447 | -14 | 3 | 0 | 0 | 0 | 0 | 0 |
| fcntl13 | rv | musl | ltp-musl | FAIL | 1 | 1002 | 251872 | 251858 | -14 | 3 | 0 | 0 | 0 | 0 | 0 |
| fcntl14 | rv | glibc | ltp-glibc | FAIL | 1 | 14167 | 241447 | 240432 | -1015 | 361 | 0 | 0 | 0 | 0 | 0 |
| fcntl14 | rv | musl | ltp-musl | FAIL | 1 | 11170 | 251858 | 242651 | -9207 | 361 | 0 | 0 | 0 | 0 | 0 |
| fcntl15 | rv | glibc | ltp-glibc | FAIL | 1 | 2993 | 240432 | 240390 | -42 | 7 | 0 | 0 | 0 | 0 | 0 |
| fcntl15 | rv | musl | ltp-musl | FAIL | 1 | 1344 | 242651 | 242609 | -42 | 7 | 0 | 0 | 0 | 0 | 0 |
| fcntl17 | rv | glibc | ltp-glibc | FAIL | 1 | 3612 | 240390 | 240362 | -28 | 6 | 0 | 0 | 0 | 0 | 0 |
| fcntl17 | rv | musl | ltp-musl | FAIL | 1 | 1106 | 242609 | 242581 | -28 | 7 | 0 | 0 | 0 | 0 | 0 |
| fcntl18 | rv | glibc | ltp-glibc | FAIL | 1 | 2616 | 240362 | 240348 | -14 | 4 | 0 | 0 | 0 | 0 | 0 |
| fcntl18 | rv | musl | ltp-musl | FAIL | 1 | 997 | 242581 | 242567 | -14 | 4 | 0 | 0 | 0 | 0 | 0 |
| fcntl19 | rv | glibc | ltp-glibc | FAIL | 1 | 3363 | 240348 | 240334 | -14 | 37 | 0 | 0 | 0 | 0 | 0 |
| fcntl19 | rv | musl | ltp-musl | FAIL | 1 | 961 | 242567 | 242553 | -14 | 37 | 0 | 0 | 0 | 0 | 0 |
| fcntl20 | rv | glibc | ltp-glibc | FAIL | 1 | 3117 | 240334 | 240320 | -14 | 45 | 0 | 0 | 0 | 0 | 0 |
| fcntl20 | rv | musl | ltp-musl | FAIL | 1 | 1083 | 242553 | 242539 | -14 | 45 | 0 | 0 | 0 | 0 | 0 |
| fcntl21 | rv | glibc | ltp-glibc | FAIL | 1 | 6272 | 240320 | 240306 | -14 | 81 | 0 | 0 | 0 | 0 | 0 |
| fcntl21 | rv | musl | ltp-musl | FAIL | 1 | 1081 | 242539 | 242525 | -14 | 81 | 0 | 0 | 0 | 0 | 0 |
| fstatfs01 | rv | glibc | ltp-glibc | FAIL | 6 | 4610 | 240159 | 240152 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| fstatfs01 | rv | musl | ltp-musl | FAIL | 6 | 957 | 242378 | 242371 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| fstatfs02 | rv | glibc | ltp-glibc | PASS | 0 | 6547 | 240152 | 240124 | -28 | 0 | 0 | 0 | 0 | 0 | 0 |
| fstatfs02 | rv | musl | ltp-musl | FAIL | 1 | 958 | 242371 | 242343 | -28 | 1 | 0 | 0 | 0 | 0 | 0 |
| fstatvfs01 | rv | glibc | ltp-glibc | FAIL | -1 | 24 | 240103 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| fstatvfs01 | rv | musl | ltp-musl | FAIL | -1 | 15 | 242322 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| fstatvfs02 | rv | glibc | ltp-glibc | FAIL | -1 | 3 | 240103 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| fstatvfs02 | rv | musl | ltp-musl | FAIL | -1 | 1 | 242322 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| ftruncate02 | rv | glibc | ltp-glibc | FAIL | -1 | 4 | 240103 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| ftruncate02 | rv | musl | ltp-musl | FAIL | -1 | 4 | 242322 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| getgroups02 | rv | glibc | ltp-glibc | FAIL | -1 | 6 | 242182 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| getgroups02 | rv | musl | ltp-musl | FAIL | -1 | 8 | 256689 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| getpgid01 | rv | glibc | ltp-glibc | FAIL | 3 | 1559 | 242203 | 242182 | -21 | 1 | 1 | 0 | 0 | 0 | 0 |
| getpgid01 | rv | musl | ltp-musl | FAIL | 3 | 1263 | 256710 | 256689 | -21 | 1 | 1 | 0 | 0 | 0 | 0 |
| getpriority03 | rv | glibc | ltp-glibc | FAIL | -1 | 2 | 242182 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
| getpriority03 | rv | musl | ltp-musl | FAIL | -1 | 4 | 256689 |  |  | 0 | 0 | 0 | 0 | 0 | 0 |
