# LTP summary: `target/ltp-full-sweep-blacklist-2026-05-29/raw/la-iter001.log`

- PASS LTP CASE: 47
- FAIL LTP CASE: 112
- Internal TFAIL/TBROK/TCONF: 155 ({'TCONF': 104, 'TBROK': 28, 'TFAIL': 23})
- timeout matches: 3
- ENOSYS/not implemented matches: 29
- panic/trap matches: 0

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| abort01 | la | musl | ltp-musl | PASS | 0 | 1391 | 159899 | 159875 | -24 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | la | musl | ltp-musl | PASS | 0 | 1564 | 159875 | 159867 | -8 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | la | musl | ltp-musl | PASS | 0 | 1530 | 159867 | 159851 | -16 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept03 | la | musl | ltp-musl | PASS | 0 | 1671 | 159851 | 159835 | -16 | 0 | 0 | 16 | 0 | 16 | 0 |
| accept4_01 | la | musl | ltp-musl | PASS | 0 | 1724 | 159835 | 159803 | -32 | 0 | 0 | 1 | 0 | 0 | 0 |
| access01 | la | musl | ltp-musl | PASS | 0 | 5435 | 159803 | 158979 | -824 | 0 | 0 | 0 | 0 | 0 | 0 |
| access02 | la | musl | ltp-musl | PASS | 0 | 5684 | 158979 | 158835 | -144 | 0 | 0 | 0 | 0 | 0 | 0 |
| access03 | la | musl | ltp-musl | PASS | 0 | 1532 | 158835 | 158787 | -48 | 0 | 0 | 0 | 0 | 0 | 0 |
| access04 | la | musl | ltp-musl | FAIL | 2 | 1574 | 158787 | 158779 | -8 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct01 | la | musl | ltp-musl | FAIL | 2 | 1489 | 158779 | 158771 | -8 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02 | la | musl | ltp-musl | FAIL | 2 | 1330 | 158771 | 158763 | -8 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02_helper | la | musl | ltp-musl | FAIL | 128 | 2171 | 158763 | 158755 | -8 | 0 | 0 | 0 | 0 | 0 | 0 |
| acl1 | la | musl | ltp-musl | FAIL | 32 | 1121 | 158755 | 158747 | -8 | 0 | 0 | 0 | 0 | 0 | 0 |
| add_ipv6addr | la | musl | ltp-musl | FAIL | 32 | 3815 | 158747 | 158635 | -112 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key01 | la | musl | ltp-musl | FAIL | 32 | 1445 | 158635 | 158618 | -17 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key02 | la | musl | ltp-musl | FAIL | 32 | 1657 | 158618 | 158602 | -16 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key03 | la | musl | ltp-musl | FAIL | 32 | 1433 | 158602 | 158586 | -16 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key04 | la | musl | ltp-musl | FAIL | 32 | 1585 | 158586 | 158570 | -16 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key05 | la | musl | ltp-musl | FAIL | 32 | 1538 | 158570 | 158562 | -8 | 0 | 0 | 1 | 0 | 0 | 0 |
| adjtimex01 | la | musl | ltp-musl | PASS | 0 | 1622 | 158562 | 158546 | -16 | 0 | 0 | 0 | 0 | 0 | 0 |
| adjtimex02 | la | musl | ltp-musl | PASS | 0 | 1592 | 158546 | 158522 | -24 | 0 | 0 | 1 | 0 | 0 | 0 |
| adjtimex03 | la | musl | ltp-musl | PASS | 0 | 1452 | 158522 | 158506 | -16 | 0 | 0 | 0 | 0 | 0 | 0 |
| af_alg01 | la | musl | ltp-musl | FAIL | 32 | 1642 | 158506 | 158490 | -16 | 0 | 0 | 1 | 0 | 0 | 0 |
