# LTP summary: `/root/oskernel2026-orays/target/ltp-full-sweep-blacklist-2026-05-29/raw/rv-iter001b.log`

- PASS LTP CASE: 348
- FAIL LTP CASE: 919
- Internal TFAIL/TBROK/TCONF: 2263 ({'TCONF': 487, 'TBROK': 351, 'TFAIL': 1425})
- timeout matches: 17
- ENOSYS/not implemented matches: 246
- panic/trap matches: 0

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| abort01 | rv | musl | ltp-musl | PASS | 0 | 1295 | 250729 | 250708 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | musl | ltp-musl | PASS | 0 | 1629 | 250708 | 250701 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | musl | ltp-musl | PASS | 0 | 3158 | 250701 | 250687 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept02 | rv | musl | ltp-musl | PASS | 0 | 3094 | 250687 | 250673 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept03 | rv | musl | ltp-musl | PASS | 0 | 2672 | 250673 | 250659 | -14 | 0 | 0 | 16 | 0 | 16 | 0 |
| accept4_01 | rv | musl | ltp-musl | PASS | 0 | 1284 | 250659 | 250631 | -28 | 0 | 0 | 1 | 0 | 0 | 0 |
| access01 | rv | musl | ltp-musl | PASS | 0 | 7233 | 250631 | 249910 | -721 | 0 | 0 | 0 | 0 | 0 | 0 |
| access02 | rv | musl | ltp-musl | PASS | 0 | 5751 | 249910 | 249812 | -98 | 0 | 0 | 0 | 0 | 0 | 0 |
| access03 | rv | musl | ltp-musl | PASS | 0 | 1500 | 249812 | 249770 | -42 | 0 | 0 | 0 | 0 | 0 | 0 |
| access04 | rv | musl | ltp-musl | FAIL | 2 | 1163 | 249770 | 249763 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct01 | rv | musl | ltp-musl | FAIL | 2 | 1149 | 249763 | 249756 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02 | rv | musl | ltp-musl | FAIL | 2 | 1226 | 249756 | 249749 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02_helper | rv | musl | ltp-musl | FAIL | 128 | 2607 | 249749 | 249742 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| acl1 | rv | musl | ltp-musl | FAIL | 32 | 854 | 249742 | 249735 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| add_ipv6addr | rv | musl | ltp-musl | FAIL | 32 | 2302 | 249735 | 249708 | -27 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key01 | rv | musl | ltp-musl | FAIL | 32 | 1159 | 249708 | 249694 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key02 | rv | musl | ltp-musl | FAIL | 32 | 1245 | 249694 | 249680 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key03 | rv | musl | ltp-musl | FAIL | 32 | 1444 | 249680 | 249666 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key04 | rv | musl | ltp-musl | FAIL | 32 | 1354 | 249666 | 249652 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key05 | rv | musl | ltp-musl | FAIL | 32 | 1511 | 249652 | 249645 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| adjtimex01 | rv | musl | ltp-musl | PASS | 0 | 1335 | 249645 | 249631 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| adjtimex02 | rv | musl | ltp-musl | PASS | 0 | 2012 | 249631 | 249610 | -21 | 0 | 0 | 1 | 0 | 0 | 0 |
| adjtimex03 | rv | musl | ltp-musl | PASS | 0 | 1126 | 249610 | 249596 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| af_alg01 | rv | musl | ltp-musl | FAIL | 32 | 1212 | 249596 | 249582 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg02 | rv | musl | ltp-musl | FAIL | 32 | 1228 | 249582 | 249568 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg03 | rv | musl | ltp-musl | FAIL | 32 | 1186 | 249568 | 249554 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg04 | rv | musl | ltp-musl | FAIL | 32 | 1153 | 249554 | 249540 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg05 | rv | musl | ltp-musl | FAIL | 32 | 1106 | 249540 | 249526 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg06 | rv | musl | ltp-musl | FAIL | 32 | 1176 | 249526 | 249512 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg07 | rv | musl | ltp-musl | FAIL | 32 | 1185 | 249512 | 249505 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aio-stress | rv | musl | ltp-musl | FAIL | 32 | 1165 | 249505 | 249498 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aio01 | rv | musl | ltp-musl | FAIL | 32 | 1189 | 249498 | 249491 | -7 | 0 | 0 | 2 | 0 | 0 | 0 |
| aio02 | rv | musl | ltp-musl | FAIL | 32 | 1093 | 249491 | 249484 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiocp | rv | musl | ltp-musl | FAIL | 32 | 1120 | 249484 | 249477 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiodio_append | rv | musl | ltp-musl | FAIL | 32 | 1103 | 249477 | 249470 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiodio_sparse | rv | musl | ltp-musl | FAIL | 32 | 1131 | 249470 | 249463 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| alarm02 | rv | musl | ltp-musl | PASS | 0 | 1568 | 249463 | 249449 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm03 | rv | musl | ltp-musl | PASS | 0 | 1676 | 249449 | 249428 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm05 | rv | musl | ltp-musl | PASS | 0 | 4229 | 249428 | 249414 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm06 | rv | musl | ltp-musl | PASS | 0 | 4792 | 249414 | 241208 | -8206 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm07 | rv | musl | ltp-musl | PASS | 0 | 4164 | 241208 | 241187 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| arch_prctl01 | rv | musl | ltp-musl | FAIL | 32 | 1120 | 241187 | 241180 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| asapi_01 | rv | musl | ltp-musl | FAIL | 3 | 1112 | 241180 | 241173 | -7 | 1 | 2 | 0 | 0 | 0 | 0 |
| asapi_02 | rv | musl | ltp-musl | FAIL | 32 | 1152 | 241173 | 241159 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| asapi_03 | rv | musl | ltp-musl | FAIL | 32 | 1262 | 241159 | 241152 | -7 | 0 | 0 | 2 | 0 | 0 | 0 |
| aslr01 | rv | musl | ltp-musl | FAIL | 2 | 1452 | 241152 | 241145 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| atof01 | rv | musl | ltp-musl | FAIL | 1 | 1548 | 241145 | 241138 | -7 | 4 | 0 | 0 | 0 | 0 | 0 |
| autogroup01 | rv | musl | ltp-musl | FAIL | 32 | 1424 | 241138 | 241124 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| bind01 | rv | musl | ltp-musl | FAIL | 1 | 1373 | 241124 | 241110 | -14 | 3 | 0 | 0 | 0 | 0 | 0 |
| bind02 | rv | musl | ltp-musl | FAIL | 1 | 1295 | 241110 | 241096 | -14 | 1 | 0 | 0 | 0 | 0 | 0 |
| bind03 | rv | musl | ltp-musl | FAIL | 2 | 1363 | 241096 | 241082 | -14 | 0 | 1 | 0 | 0 | 0 | 0 |
| bind04 | rv | musl | ltp-musl | FAIL | 33 | 1182 | 241082 | 241068 | -14 | 1 | 0 | 1 | 0 | 0 | 0 |
| bind05 | rv | musl | ltp-musl | FAIL | 1 | 1420 | 241068 | 241054 | -14 | 2 | 0 | 1 | 0 | 0 | 0 |
| bind06 | rv | musl | ltp-musl | FAIL | 2 | 1506 | 241054 | 241047 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| block_dev | rv | musl | ltp-musl | FAIL | 32 | 1174 | 241047 | 241040 | -7 | 0 | 0 | 2 | 0 | 0 | 0 |
| bpf_map01 | rv | musl | ltp-musl | FAIL | 32 | 1237 | 241040 | 241026 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| bpf_prog01 | rv | musl | ltp-musl | FAIL | 32 | 1520 | 241026 | 241012 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| bpf_prog02 | rv | musl | ltp-musl | FAIL | 32 | 1224 | 241012 | 240998 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| bpf_prog03 | rv | musl | ltp-musl | FAIL | 32 | 1459 | 240998 | 240984 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| bpf_prog04 | rv | musl | ltp-musl | FAIL | 32 | 3008 | 240984 | 240970 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| bpf_prog05 | rv | musl | ltp-musl | FAIL | 32 | 1719 | 240970 | 240956 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| bpf_prog06 | rv | musl | ltp-musl | FAIL | 32 | 2343 | 240956 | 240942 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| bpf_prog07 | rv | musl | ltp-musl | FAIL | 32 | 1538 | 240942 | 240928 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| brk01 | rv | musl | ltp-musl | PASS | 0 | 1728 | 240928 | 240907 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| brk02 | rv | musl | ltp-musl | PASS | 0 | 1276 | 240907 | 240886 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| cacheflush01 | rv | musl | ltp-musl | FAIL | 32 | 1162 | 240886 | 240879 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| can_bcm01 | rv | musl | ltp-musl | FAIL | 32 | 1758 | 240879 | 240872 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| can_filter | rv | musl | ltp-musl | FAIL | 32 | 2214 | 240872 | 240865 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| can_rcv_own_msgs | rv | musl | ltp-musl | FAIL | 32 | 2638 | 240865 | 240858 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| cap_bounds_r | rv | musl | ltp-musl | FAIL | 32 | 1255 | 240858 | 240851 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| cap_bounds_rw | rv | musl | ltp-musl | FAIL | 32 | 1170 | 240851 | 240844 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| cap_bset_inh_bounds | rv | musl | ltp-musl | FAIL | 32 | 1485 | 240844 | 240837 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| capget01 | rv | musl | ltp-musl | FAIL | 32 | 1514 | 240837 | 240823 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| capget02 | rv | musl | ltp-musl | FAIL | 32 | 1613 | 240823 | 240809 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| capset01 | rv | musl | ltp-musl | FAIL | 32 | 2153 | 240809 | 240795 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| capset02 | rv | musl | ltp-musl | FAIL | 32 | 1417 | 240795 | 240781 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| capset03 | rv | musl | ltp-musl | FAIL | 32 | 2268 | 240781 | 240767 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| capset04 | rv | musl | ltp-musl | FAIL | 32 | 1194 | 240767 | 240753 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| cfs_bandwidth01 | rv | musl | ltp-musl | FAIL | 2 | 1173 | 240753 | 240746 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| cgroup_core01 | rv | musl | ltp-musl | FAIL | 32 | 1525 | 240746 | 240739 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
