# LTP summary: `/root/oskernel2026-orays/target/ltp-full-sweep-blacklist-2026-05-29/raw/rv-iter002.log`

- PASS LTP CASE: 293
- FAIL LTP CASE: 814
- Internal TFAIL/TBROK/TCONF: 2109 ({'TCONF': 451, 'TBROK': 296, 'TFAIL': 1362})
- timeout matches: 16
- ENOSYS/not implemented matches: 190
- panic/trap matches: 0

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| abort01 | rv | musl | ltp-musl | PASS | 0 | 1281 | 250729 | 250708 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | musl | ltp-musl | PASS | 0 | 1447 | 250708 | 250701 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | musl | ltp-musl | PASS | 0 | 4114 | 250701 | 250687 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept02 | rv | musl | ltp-musl | PASS | 0 | 5885 | 250687 | 250673 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept03 | rv | musl | ltp-musl | PASS | 0 | 2896 | 250673 | 250659 | -14 | 0 | 0 | 16 | 0 | 16 | 0 |
| accept4_01 | rv | musl | ltp-musl | PASS | 0 | 1787 | 250659 | 250631 | -28 | 0 | 0 | 1 | 0 | 0 | 0 |
| access01 | rv | musl | ltp-musl | PASS | 0 | 8249 | 250631 | 249910 | -721 | 0 | 0 | 0 | 0 | 0 | 0 |
| access02 | rv | musl | ltp-musl | PASS | 0 | 7958 | 249910 | 249812 | -98 | 0 | 0 | 0 | 0 | 0 | 0 |
| access03 | rv | musl | ltp-musl | PASS | 0 | 3055 | 249812 | 249770 | -42 | 0 | 0 | 0 | 0 | 0 | 0 |
| access04 | rv | musl | ltp-musl | FAIL | 2 | 2228 | 249770 | 249763 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct01 | rv | musl | ltp-musl | FAIL | 2 | 1508 | 249763 | 249756 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02 | rv | musl | ltp-musl | FAIL | 2 | 1353 | 249756 | 249749 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02_helper | rv | musl | ltp-musl | FAIL | 128 | 3956 | 249749 | 249742 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| acl1 | rv | musl | ltp-musl | FAIL | 32 | 4671 | 249742 | 249735 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| add_ipv6addr | rv | musl | ltp-musl | FAIL | 32 | 4712 | 249735 | 249708 | -27 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key01 | rv | musl | ltp-musl | FAIL | 32 | 4456 | 249708 | 249694 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key02 | rv | musl | ltp-musl | FAIL | 32 | 2036 | 249694 | 249680 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key03 | rv | musl | ltp-musl | FAIL | 32 | 1664 | 249680 | 249666 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key04 | rv | musl | ltp-musl | FAIL | 32 | 1313 | 249666 | 249652 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key05 | rv | musl | ltp-musl | FAIL | 32 | 1490 | 249652 | 249645 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| adjtimex01 | rv | musl | ltp-musl | PASS | 0 | 2286 | 249645 | 249631 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| adjtimex02 | rv | musl | ltp-musl | PASS | 0 | 1954 | 249631 | 249610 | -21 | 0 | 0 | 1 | 0 | 0 | 0 |
| adjtimex03 | rv | musl | ltp-musl | PASS | 0 | 4120 | 249610 | 249596 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| af_alg01 | rv | musl | ltp-musl | FAIL | 32 | 1877 | 249596 | 249582 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg02 | rv | musl | ltp-musl | FAIL | 32 | 1588 | 249582 | 249568 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg03 | rv | musl | ltp-musl | FAIL | 32 | 3665 | 249568 | 249554 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg04 | rv | musl | ltp-musl | FAIL | 32 | 6359 | 249554 | 249540 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg05 | rv | musl | ltp-musl | FAIL | 32 | 6139 | 249540 | 249526 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg06 | rv | musl | ltp-musl | FAIL | 32 | 4592 | 249526 | 249512 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg07 | rv | musl | ltp-musl | FAIL | 32 | 3441 | 249512 | 249505 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aio-stress | rv | musl | ltp-musl | FAIL | 32 | 3580 | 249505 | 249498 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aio01 | rv | musl | ltp-musl | FAIL | 32 | 3293 | 249498 | 249491 | -7 | 0 | 0 | 2 | 0 | 0 | 0 |
| aio02 | rv | musl | ltp-musl | FAIL | 32 | 2172 | 249491 | 249484 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiocp | rv | musl | ltp-musl | FAIL | 32 | 5780 | 249484 | 249477 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiodio_append | rv | musl | ltp-musl | FAIL | 32 | 4322 | 249477 | 249470 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiodio_sparse | rv | musl | ltp-musl | FAIL | 32 | 1934 | 249470 | 249463 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| alarm02 | rv | musl | ltp-musl | PASS | 0 | 1864 | 249463 | 249449 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm03 | rv | musl | ltp-musl | PASS | 0 | 3652 | 249449 | 249428 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm05 | rv | musl | ltp-musl | PASS | 0 | 5223 | 249428 | 249414 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm06 | rv | musl | ltp-musl | PASS | 0 | 5999 | 249414 | 249400 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm07 | rv | musl | ltp-musl | PASS | 0 | 5561 | 249400 | 249379 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
