# LTP summary: `/root/oskernel2026-orays/target/ltp-full-sweep-blacklist-2026-05-29/raw/rv-iter005.log`

- PASS LTP CASE: 857
- FAIL LTP CASE: 2395
- Internal TFAIL/TBROK/TCONF: 5731 ({'TCONF': 1754, 'TBROK': 742, 'TFAIL': 3235})
- timeout matches: 51
- ENOSYS/not implemented matches: 765
- panic/trap matches: 0

## Suite summaries
- ltp-musl: 590 passed, 1739 failed

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| abort01 | rv | glibc | ltp-glibc | PASS | 0 | 3170 | 76117 | 76096 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| abort01 | rv | musl | ltp-musl | PASS | 0 | 3489 | 250728 | 250707 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | glibc | ltp-glibc | PASS | 0 | 3811 | 76096 | 76089 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | musl | ltp-musl | PASS | 0 | 2086 | 250707 | 250700 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | glibc | ltp-glibc | PASS | 0 | 3613 | 76089 | 76075 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | musl | ltp-musl | PASS | 0 | 1443 | 250700 | 250686 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept03 | rv | glibc | ltp-glibc | PASS | 0 | 2378 | 76075 | 76061 | -14 | 0 | 0 | 16 | 0 | 16 | 0 |
| accept03 | rv | musl | ltp-musl | PASS | 0 | 1237 | 250686 | 250672 | -14 | 0 | 0 | 16 | 0 | 16 | 0 |
| accept4_01 | rv | glibc | ltp-glibc | PASS | 0 | 2333 | 76061 | 76033 | -28 | 0 | 0 | 1 | 0 | 0 | 0 |
| accept4_01 | rv | musl | ltp-musl | PASS | 0 | 1215 | 250672 | 250644 | -28 | 0 | 0 | 1 | 0 | 0 | 0 |
