# LTP summary: `/root/oskernel2026-orays/target/ltp-full-sweep-blacklist-2026-05-29/raw/rv-iter006.log`

- PASS LTP CASE: 1186
- FAIL LTP CASE: 3473
- Internal TFAIL/TBROK/TCONF: 7824 ({'TCONF': 2663, 'TBROK': 1042, 'TFAIL': 4119})
- timeout matches: 68
- ENOSYS/not implemented matches: 1280
- panic/trap matches: 0

## Suite summaries
- ltp-musl: 588 passed, 1740 failed
- ltp-glibc: 598 passed, 1734 failed

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| abort01 | rv | glibc | ltp-glibc | PASS | 0 | 2271 | 76810 | 76789 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| abort01 | rv | musl | ltp-musl | PASS | 0 | 2119 | 250728 | 250707 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | glibc | ltp-glibc | PASS | 0 | 3794 | 76789 | 76782 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | musl | ltp-musl | PASS | 0 | 2179 | 250707 | 250700 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | glibc | ltp-glibc | PASS | 0 | 2215 | 76782 | 76768 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | musl | ltp-musl | PASS | 0 | 3057 | 250700 | 250686 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept03 | rv | glibc | ltp-glibc | PASS | 0 | 2100 | 76768 | 76754 | -14 | 0 | 0 | 16 | 0 | 16 | 0 |
| accept03 | rv | musl | ltp-musl | PASS | 0 | 3243 | 250686 | 250672 | -14 | 0 | 0 | 16 | 0 | 16 | 0 |
| accept4_01 | rv | glibc | ltp-glibc | PASS | 0 | 2711 | 76754 | 76726 | -28 | 0 | 0 | 1 | 0 | 0 | 0 |
| accept4_01 | rv | musl | ltp-musl | PASS | 0 | 1646 | 250672 | 250644 | -28 | 0 | 0 | 1 | 0 | 0 | 0 |
| access01 | rv | glibc | ltp-glibc | PASS | 0 | 10476 | 76726 | 76005 | -721 | 0 | 0 | 0 | 0 | 0 | 0 |
| access01 | rv | musl | ltp-musl | PASS | 0 | 10214 | 250644 | 249923 | -721 | 0 | 0 | 0 | 0 | 0 | 0 |
| access02 | rv | glibc | ltp-glibc | PASS | 0 | 7647 | 76005 | 75907 | -98 | 0 | 0 | 0 | 0 | 0 | 0 |
| access02 | rv | musl | ltp-musl | PASS | 0 | 6948 | 249923 | 249825 | -98 | 0 | 0 | 0 | 0 | 0 | 0 |
| access03 | rv | glibc | ltp-glibc | PASS | 0 | 2683 | 75907 | 75865 | -42 | 0 | 0 | 0 | 0 | 0 | 0 |
| access03 | rv | musl | ltp-musl | PASS | 0 | 1873 | 249825 | 249783 | -42 | 0 | 0 | 0 | 0 | 0 | 0 |
| access04 | rv | glibc | ltp-glibc | FAIL | 2 | 2269 | 75865 | 75858 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| access04 | rv | musl | ltp-musl | FAIL | 2 | 1648 | 249783 | 249776 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct01 | rv | glibc | ltp-glibc | FAIL | 2 | 2188 | 75858 | 75851 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct01 | rv | musl | ltp-musl | FAIL | 2 | 1545 | 249776 | 249769 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02 | rv | glibc | ltp-glibc | FAIL | 2 | 1775 | 75851 | 75844 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02 | rv | musl | ltp-musl | FAIL | 2 | 1322 | 249769 | 249762 | -7 | 0 | 1 | 0 | 0 | 0 | 0 |
| acct02_helper | rv | glibc | ltp-glibc | FAIL | 128 | 2971 | 75844 | 75837 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| acct02_helper | rv | musl | ltp-musl | FAIL | 128 | 2080 | 249762 | 249755 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| acl1 | rv | glibc | ltp-glibc | FAIL | 32 | 1538 | 75837 | 75830 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| acl1 | rv | musl | ltp-musl | FAIL | 32 | 1087 | 249755 | 249748 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| add_ipv6addr | rv | glibc | ltp-glibc | FAIL | 32 | 5679 | 75830 | 75803 | -27 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_ipv6addr | rv | musl | ltp-musl | FAIL | 32 | 2950 | 249748 | 249721 | -27 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key01 | rv | glibc | ltp-glibc | FAIL | 32 | 2544 | 75803 | 75789 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key01 | rv | musl | ltp-musl | FAIL | 32 | 1379 | 249721 | 249707 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key02 | rv | glibc | ltp-glibc | FAIL | 32 | 2348 | 75789 | 75775 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key02 | rv | musl | ltp-musl | FAIL | 32 | 1520 | 249707 | 249693 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key03 | rv | glibc | ltp-glibc | FAIL | 32 | 2175 | 75775 | 75761 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key03 | rv | musl | ltp-musl | FAIL | 32 | 1562 | 249693 | 249679 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key04 | rv | glibc | ltp-glibc | FAIL | 32 | 2189 | 75761 | 75747 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key04 | rv | musl | ltp-musl | FAIL | 32 | 1560 | 249679 | 249665 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key05 | rv | glibc | ltp-glibc | FAIL | 32 | 2223 | 75747 | 75740 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| add_key05 | rv | musl | ltp-musl | FAIL | 32 | 1357 | 249665 | 249658 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| adjtimex01 | rv | glibc | ltp-glibc | FAIL | 2 | 2244 | 75740 | 75726 | -14 | 0 | 1 | 0 | 0 | 1 | 0 |
| adjtimex01 | rv | musl | ltp-musl | PASS | 0 | 1587 | 249658 | 249644 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| adjtimex02 | rv | glibc | ltp-glibc | FAIL | 6 | 2948 | 75726 | 75712 | -14 | 0 | 1 | 0 | 0 | 1 | 0 |
| adjtimex02 | rv | musl | ltp-musl | PASS | 0 | 2050 | 249644 | 249623 | -21 | 0 | 0 | 1 | 0 | 0 | 0 |
| adjtimex03 | rv | glibc | ltp-glibc | FAIL | 2 | 3458 | 75712 | 75698 | -14 | 0 | 1 | 0 | 0 | 1 | 0 |
| adjtimex03 | rv | musl | ltp-musl | PASS | 0 | 1386 | 249623 | 249609 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| af_alg01 | rv | glibc | ltp-glibc | FAIL | 32 | 2537 | 75698 | 75684 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg01 | rv | musl | ltp-musl | FAIL | 32 | 1605 | 249609 | 249595 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg02 | rv | glibc | ltp-glibc | FAIL | 32 | 2144 | 75684 | 75669 | -15 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg02 | rv | musl | ltp-musl | FAIL | 32 | 1484 | 249595 | 249581 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg03 | rv | glibc | ltp-glibc | FAIL | 32 | 2256 | 75669 | 75655 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg03 | rv | musl | ltp-musl | FAIL | 32 | 1586 | 249581 | 249567 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg04 | rv | glibc | ltp-glibc | FAIL | 32 | 2178 | 75655 | 75641 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg04 | rv | musl | ltp-musl | FAIL | 32 | 1419 | 249567 | 249553 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg05 | rv | glibc | ltp-glibc | FAIL | 32 | 2853 | 75641 | 75627 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg05 | rv | musl | ltp-musl | FAIL | 32 | 1699 | 249553 | 249539 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg06 | rv | glibc | ltp-glibc | FAIL | 32 | 4564 | 75627 | 75613 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg06 | rv | musl | ltp-musl | FAIL | 32 | 1869 | 249539 | 249525 | -14 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg07 | rv | glibc | ltp-glibc | FAIL | 32 | 2448 | 75613 | 75606 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| af_alg07 | rv | musl | ltp-musl | FAIL | 32 | 1656 | 249525 | 249518 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aio-stress | rv | glibc | ltp-glibc | FAIL | 32 | 2350 | 75606 | 75599 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aio-stress | rv | musl | ltp-musl | FAIL | 32 | 1476 | 249518 | 249511 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aio01 | rv | glibc | ltp-glibc | FAIL | 32 | 3636 | 75599 | 75592 | -7 | 0 | 0 | 2 | 0 | 0 | 0 |
| aio01 | rv | musl | ltp-musl | FAIL | 32 | 1515 | 249511 | 249504 | -7 | 0 | 0 | 2 | 0 | 0 | 0 |
| aio02 | rv | glibc | ltp-glibc | FAIL | 32 | 2316 | 75592 | 75585 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aio02 | rv | musl | ltp-musl | FAIL | 32 | 1466 | 249504 | 249497 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiocp | rv | glibc | ltp-glibc | FAIL | 32 | 1997 | 75585 | 75578 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiocp | rv | musl | ltp-musl | FAIL | 32 | 1585 | 249497 | 249490 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiodio_append | rv | glibc | ltp-glibc | FAIL | 32 | 2355 | 75578 | 75571 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiodio_append | rv | musl | ltp-musl | FAIL | 32 | 1426 | 249490 | 249483 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiodio_sparse | rv | glibc | ltp-glibc | FAIL | 32 | 2300 | 75571 | 75564 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| aiodio_sparse | rv | musl | ltp-musl | FAIL | 32 | 1538 | 249483 | 249476 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| alarm02 | rv | glibc | ltp-glibc | PASS | 0 | 2194 | 75564 | 75550 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm02 | rv | musl | ltp-musl | PASS | 0 | 1462 | 249476 | 249462 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm03 | rv | glibc | ltp-glibc | PASS | 0 | 2334 | 75550 | 75529 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm03 | rv | musl | ltp-musl | PASS | 0 | 1461 | 249462 | 249441 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm05 | rv | glibc | ltp-glibc | PASS | 0 | 5064 | 75529 | 75515 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm05 | rv | musl | ltp-musl | PASS | 0 | 4557 | 249441 | 249427 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm06 | rv | glibc | ltp-glibc | PASS | 0 | 5290 | 75515 | 75501 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm06 | rv | musl | ltp-musl | PASS | 0 | 4641 | 249427 | 249413 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm07 | rv | glibc | ltp-glibc | PASS | 0 | 5210 | 75501 | 75480 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| alarm07 | rv | musl | ltp-musl | PASS | 0 | 4444 | 249413 | 249392 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| arch_prctl01 | rv | glibc | ltp-glibc | FAIL | 32 | 1971 | 75480 | 75473 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| arch_prctl01 | rv | musl | ltp-musl | FAIL | 32 | 1661 | 249392 | 249385 | -7 | 0 | 0 | 1 | 0 | 0 | 0 |
| asapi_01 | rv | glibc | ltp-glibc | FAIL | 3 | 2341 | 75473 | 75466 | -7 | 9 | 2 | 0 | 0 | 0 | 0 |
