# LTP summary: `/root/oskernel2026-orays/target/ltp-full-sweep-blacklist-2026-05-29/raw/rv-iter003.log`

- PASS LTP CASE: 477
- FAIL LTP CASE: 1119
- Internal TFAIL/TBROK/TCONF: 2838 ({'TCONF': 623, 'TBROK': 431, 'TFAIL': 1784})
- timeout matches: 25
- ENOSYS/not implemented matches: 359
- panic/trap matches: 0

## Case matrix
| Case | Arch | Libc | Group | Status | Code | Runtime ms | Free frames before | Free frames after cleanup | Free frames delta | TFAIL | TBROK | TCONF | timeout | ENOSYS | panic/trap |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| abort01 | rv | musl | ltp-musl | PASS | 0 | 2400 | 250728 | 250707 | -21 | 0 | 0 | 0 | 0 | 0 | 0 |
| abs01 | rv | musl | ltp-musl | PASS | 0 | 2001 | 250707 | 250700 | -7 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept01 | rv | musl | ltp-musl | PASS | 0 | 2144 | 250700 | 250686 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept02 | rv | musl | ltp-musl | PASS | 0 | 3078 | 250686 | 250672 | -14 | 0 | 0 | 0 | 0 | 0 | 0 |
| accept03 | rv | musl | ltp-musl | PASS | 0 | 3683 | 250672 | 250658 | -14 | 0 | 0 | 16 | 0 | 16 | 0 |
| accept4_01 | rv | musl | ltp-musl | PASS | 0 | 2243 | 250658 | 250630 | -28 | 0 | 0 | 1 | 0 | 0 | 0 |
| access01 | rv | musl | ltp-musl | PASS | 0 | 12647 | 250630 | 249909 | -721 | 0 | 0 | 0 | 0 | 0 | 0 |
| access02 | rv | musl | ltp-musl | PASS | 0 | 6034 | 249909 | 249811 | -98 | 0 | 0 | 0 | 0 | 0 | 0 |
| access03 | rv | musl | ltp-musl | PASS | 0 | 2123 | 249811 | 249769 | -42 | 0 | 0 | 0 | 0 | 0 | 0 |
